Cultist,Stealth,Influence,Endurance,Lore,Economic,Strength,Insanity,Position
Perry Bates,5.8,7.8,0.6,4.9,0.7,2.6,2.7,Advisor
Yvette Smith,2.0,3.4,9.6,3.7,3.4,8.5,3.4,Enforcer
Shawn Hawkins,6.3,5.8,6.3,1.4,7.7,7.1,6.7,Enforcer
Brandy Goodman,9.2,10.0,4.8,3.5,7.6,7.9,3.9,Enforcer
Roosevelt Bowers,0.6,9.1,0.4,8.4,0.4,8.9,7.5,Priest
Pedro Brock,7.4,8.7,5.9,1.1,0.3,4.0,2.7,Enforcer
Geoffrey Castillo,3.7,6.7,1.5,5.9,2.0,1.2,1.5,Advisor
Wendy Cannon,1.1,1.0,5.1,3.6,5.4,1.7,3.8,Accountant
Kristopher Pena,10.0,5.7,0.2,7.4,9.2,5.0,0.5,Advisor
Philip Graves,1.2,8.6,1.4,2.6,7.9,3.9,6.3,Recruiter
Dustin Gregory,0.8,4.8,2.2,7.1,5.5,8.5,2.4,Advisor
Patty Manning,9.1,4.2,9.6,5.3,9.3,5.1,7.1,Assassin
Sonja Kelley,3.0,0.7,4.9,2.1,0.1,3.4,1.5,Assassin
Marion Phillips,2.8,7.5,0.2,6.7,6.2,5.4,2.7,Advisor
Alfred Blake,9.4,8.1,3.7,6.1,9.0,8.3,9.6,Recruiter
Jim Robbins,3.8,4.9,9.4,5.6,1.1,9.9,0.0,Enforcer
Lola Powell,4.8,1.6,4.9,9.8,2.6,2.5,1.0,Accountant
Willis Warren,7.6,3.6,6.3,6.3,1.7,0.8,7.1,Assassin
Eloise Ortega,1.5,1.1,9.4,7.6,7.4,1.8,3.6,Accountant
Edmund Garcia,3.1,5.1,0.0,6.4,7.5,0.5,8.7,Recruiter
Rachel Holt,5.7,8.1,3.6,8.4,6.3,6.0,8.8,Recruiter
Natalie Carson,9.5,1.9,2.1,3.5,8.3,1.7,5.3,Accountant
Boyd Vaughn,0.0,1.2,7.0,1.8,10.0,0.6,2.0,Accountant
Gerard Harmon,5.6,0.2,8.7,2.7,6.5,4.5,3.4,Assassin
Deborah Herrera,6.1,2.4,8.6,4.1,4.7,2.3,9.9,Assassin
Hugo Bradley,8.5,5.3,6.5,5.5,9.6,9.9,0.6,Accountant
Alma Richardson,2.9,0.2,0.7,6.0,4.5,2.8,2.6,Accountant
Micheal Abbott,1.9,2.0,9.8,4.4,1.6,2.5,6.2,Assassin
Jerald Ramos,5.3,7.5,6.3,5.3,0.5,5.3,10.0,Priest
Mona Stevenson,8.7,2.1,0.7,1.5,1.8,3.5,1.9,Assassin
Garry Baker,3.7,2.0,5.2,2.2,5.6,9.8,0.1,Enforcer
Tammy Clarke,5.3,0.4,7.3,7.6,6.1,2.0,4.8,Accountant
Elbert Stevens,8.8,4.7,8.1,1.1,0.0,3.4,2.8,Assassin
Stanley Huff,6.3,8.0,4.4,10.0,9.0,9.3,9.7,Advisor
Maryann Allen,3.7,9.4,3.7,6.8,6.8,6.6,1.6,Advisor
Israel Nunez,4.9,5.8,3.1,2.2,0.4,4.6,6.7,Enforcer
Roberta Lucas,3.8,3.8,1.4,7.7,1.6,7.1,8.8,Priest
Jamie Nash,10.0,6.7,8.0,1.9,7.6,6.0,1.6,Accountant
Lance Roberts,0.7,1.0,1.9,4.6,2.0,9.3,1.7,Enforcer
Maurice Reid,3.8,0.4,1.3,2.0,5.2,0.5,5.2,Recruiter
Julia Hopkins,4.5,5.9,1.4,2.4,3.5,4.0,3.4,Recruiter
Kenneth Chandler,3.5,1.7,1.0,8.7,2.8,4.8,0.6,Advisor
Eleanor Harper,4.1,0.9,5.0,3.3,7.3,1.3,0.6,Accountant
Sammy Mason,4.8,0.4,7.2,2.2,7.6,3.3,3.1,Accountant
Erin Jimenez,6.6,1.4,4.9,5.4,7.4,0.9,6.2,Accountant
Gina Mitchell,6.6,6.5,6.2,6.0,7.8,9.7,1.2,Accountant
Adrienne Nichols,2.1,0.5,4.2,6.8,7.6,8.0,9.3,Priest
Hattie Taylor,8.8,3.1,1.5,5.5,2.7,3.2,3.0,Assassin
Shawna Waters,3.8,4.3,8.4,0.3,1.0,6.0,7.6,Enforcer
Derrick Peterson,6.1,5.2,2.3,1.6,9.5,2.1,2.4,Accountant
Evan Romero,4.0,8.9,2.3,4.8,5.8,4.8,4.9,Recruiter
Everett Gomez,5.1,8.0,3.9,9.8,8.2,8.8,3.3,Advisor
Diana Ballard,4.9,2.5,4.6,8.7,2.5,4.7,5.5,Priest
Jennifer Gardner,9.0,4.1,5.2,7.5,9.7,7.7,2.4,Accountant
Natasha Patton,1.3,4.7,2.6,2.6,7.2,8.8,2.4,Enforcer
Rita Patrick,2.0,9.6,2.0,9.3,5.3,2.9,0.9,Advisor
Roger Sutton,6.9,2.6,7.3,3.7,6.6,9.3,8.1,Assassin
Lorraine Lee,0.2,2.0,1.5,10.0,2.9,6.7,5.5,Priest
Nina Poole,7.6,7.4,3.2,8.0,3.9,2.5,8.8,Recruiter
Lyle Glover,7.1,8.6,7.0,2.1,2.1,9.1,9.8,Enforcer
Theresa Woods,6.3,4.0,1.3,8.2,3.4,9.8,1.7,Advisor
Lynn Howell,4.0,4.1,8.2,9.9,1.5,4.1,8.9,Priest
Dewey Hines,0.1,4.2,0.4,2.1,8.9,4.7,1.6,Accountant
Genevieve Soto,7.5,1.6,9.8,2.2,8.7,1.0,7.0,Assassin
Marshall Brady,1.9,2.5,7.3,5.3,5.6,4.1,9.1,Priest
Alfonso Malone,3.4,7.2,5.3,9.5,9.2,5.2,7.5,Priest
Elijah Douglas,6.1,2.8,9.8,5.4,0.4,9.8,6.2,Enforcer
Cheryl Benson,7.9,1.5,6.1,3.3,1.8,0.4,7.3,Assassin
Randolph Norris,1.3,9.9,7.1,0.8,8.8,8.0,8.3,Enforcer
Nathaniel Paul,5.4,5.4,9.2,8.2,7.9,5.6,4.3,Accountant
Tonya Mills,5.9,9.3,3.3,9.2,8.5,3.7,4.6,Advisor
Violet Blair,5.9,8.9,8.3,3.8,3.9,7.0,2.8,Enforcer
Roderick Stone,10.0,6.2,6.1,3.7,6.7,3.1,8.6,Assassin
Kristina Daniel,7.1,1.3,7.3,4.6,9.2,8.4,3.7,Accountant
Casey Sims,9.2,9.2,6.8,9.8,7.7,2.2,0.1,Accountant
Whitney Gilbert,8.5,7.8,5.9,1.3,1.6,2.9,6.2,Assassin
Leon Haynes,3.5,0.0,2.9,3.7,4.1,8.7,7.3,Assassin
Dwayne Gordon,1.6,4.1,3.7,1.8,3.4,0.4,8.8,Priest
Micheal Vargas,8.2,9.1,4.9,8.3,7.2,2.1,6.3,Advisor
Marion Duncan,8.2,0.1,2.8,2.9,2.2,7.8,6.2,Assassin
Erik Stokes,7.6,5.9,4.1,8.1,9.7,4.4,2.3,Accountant
Ruth Haynes,9.6,3.2,0.4,7.2,8.7,2.4,0.7,Accountant
Meredith Harvey,7.7,0.7,1.7,3.1,4.7,2.2,9.3,Assassin
Leslie Goodwin,5.0,2.2,10.0,8.0,3.3,3.7,3.0,Accountant
Noah Benson,4.6,2.5,5.3,0.6,0.2,1.3,1.2,Assassin
Olivia Banks,7.2,2.2,9.6,2.9,1.3,7.3,7.6,Assassin
Lula Stone,1.3,7.0,6.4,4.3,7.4,4.2,8.7,Priest
Velma Hernandez,5.9,7.6,6.8,4.8,7.6,6.1,6.8,Recruiter
Alison Richardson,3.6,3.6,6.2,5.9,5.3,3.0,3.3,Accountant
Rufus Ingram,9.1,4.6,5.9,2.9,6.1,2.4,1.0,Accountant
Nellie Stevenson,1.3,5.3,7.0,9.1,5.7,7.7,0.9,Accountant
Terry Hale,5.0,7.8,7.8,4.0,0.1,5.5,6.2,Enforcer
Holly Mack,0.4,7.6,1.2,2.6,5.0,6.0,4.7,Recruiter
Toby Myers,8.6,2.6,3.2,9.4,6.1,3.3,6.8,Advisor
Ben Kelly,3.3,5.1,2.0,3.9,5.4,4.0,1.1,Advisor
Sam Welch,9.8,0.7,5.2,6.5,9.0,5.9,4.9,Assassin
Deanna Manning,1.9,9.5,4.2,5.8,6.6,7.5,6.6,Recruiter
Miranda Love,1.4,8.7,3.7,9.5,10.0,2.4,0.3,Advisor
Dixie Gill,5.3,8.4,4.6,10.0,5.7,7.3,4.1,Advisor
Lynette Weaver,2.4,4.0,4.7,3.9,6.3,4.9,4.2,Accountant
Jean Bowen,6.6,8.3,1.2,8.2,3.9,8.0,5.3,Advisor
Kelli Bowman,1.8,2.3,9.6,3.7,3.1,8.8,6.3,Enforcer
Celia Cooper,0.6,2.7,4.8,5.4,7.4,1.4,5.5,Priest
Faye Casey,9.3,1.6,4.4,9.5,5.1,3.0,3.1,Accountant
Horace Quinn,0.6,0.9,5.0,5.9,5.3,1.4,1.7,Accountant
Lee Burke,3.5,3.7,9.9,3.9,3.5,2.5,3.8,Assassin
Doreen Malone,3.8,5.0,1.0,7.7,4.0,5.7,0.8,Advisor
Alice Allison,5.6,5.0,2.6,7.2,8.4,8.5,0.3,Accountant
Gloria Parsons,6.4,1.6,9.2,2.4,8.2,3.7,4.7,Assassin
Shelia Richards,0.5,7.9,9.7,4.5,7.2,0.4,0.7,Accountant
William Jennings,4.5,7.0,5.1,2.6,2.5,2.8,4.3,Recruiter
Bennie Waters,2.5,0.2,4.1,7.4,0.0,3.2,5.5,Priest
Kimberly Fowler,10.0,9.9,5.5,5.2,6.5,0.6,5.9,Recruiter
Sherry Drake,7.2,7.9,0.5,4.9,6.8,5.7,3.0,Advisor
Herman Collier,2.1,6.2,6.3,3.0,8.4,8.6,1.5,Enforcer
Lucia Douglas,8.2,7.9,0.7,6.6,4.9,7.5,3.7,Advisor
Ramona Warren,3.5,9.9,5.6,9.3,8.2,0.7,9.0,Recruiter
Brandi Bridges,4.9,9.8,8.7,5.6,5.0,4.9,8.4,Priest
Robin Santos,7.2,9.5,8.6,1.3,4.5,7.6,2.6,Enforcer
Jacqueline May,8.0,8.4,0.8,7.4,0.6,1.2,6.6,Recruiter
Mamie Simon,4.8,5.1,7.2,7.6,1.7,3.2,8.0,Priest
Pam Smith,1.5,5.4,1.8,0.9,7.8,2.9,5.9,Recruiter
Alberta Garrett,2.6,8.8,7.2,6.3,8.5,0.1,5.5,Recruiter
Seth Mullins,0.3,6.9,5.6,7.3,0.6,2.2,6.5,Priest
Billie Lyons,4.2,7.4,9.4,4.2,0.8,4.4,3.4,Enforcer
Cindy Brady,0.4,4.6,5.6,3.3,5.4,9.0,3.7,Enforcer
Jeanne Olson,4.2,2.8,9.8,2.7,6.0,7.0,1.3,Enforcer
Sue Kennedy,5.1,6.3,9.0,8.4,1.1,3.0,5.3,Priest
Bradley Santiago,9.2,5.6,1.6,1.0,3.4,4.9,9.8,Assassin
Beatrice Grant,4.7,7.9,3.5,3.0,2.3,2.2,8.8,Recruiter
Wilbert Fitzgerald,1.7,9.2,2.7,4.3,4.7,5.5,7.5,Recruiter
Caleb Silva,9.7,8.6,6.4,1.8,1.0,4.9,4.6,Enforcer
Ruby Patterson,4.5,8.5,9.0,1.7,8.7,5.2,4.7,Enforcer
Justin Peterson,5.6,1.2,7.0,0.0,3.8,5.8,8.0,Assassin
Candace Wagner,4.3,5.2,5.4,9.7,3.2,5.5,2.0,Advisor
Robyn Hill,7.2,8.2,5.4,9.0,2.3,2.4,1.5,Advisor
Ernest Nunez,8.0,7.0,9.0,5.3,9.1,6.3,1.0,Accountant
Jan Henry,8.6,3.4,2.6,8.7,2.7,1.4,4.2,Advisor
Kellie Flores,4.1,8.4,6.3,3.4,4.7,9.4,8.1,Enforcer
Shawn Colon,10.0,8.0,7.6,3.3,4.7,7.2,9.7,Assassin
Max Stevens,5.1,4.9,1.1,1.5,1.3,2.0,0.3,Advisor
Paul Burton,9.9,5.6,6.7,7.6,6.4,6.0,2.4,Accountant
Melody Gutierrez,1.0,5.8,7.7,2.4,7.4,4.6,1.1,Accountant
Terry Dixon,6.6,6.2,1.8,9.4,2.2,9.4,8.1,Advisor
Tommy Sullivan,9.1,6.4,8.8,2.1,6.0,1.2,0.9,Accountant
Tammy Riley,1.3,5.9,9.7,1.4,5.6,7.5,0.9,Enforcer
Teresa Wade,6.5,1.8,2.4,7.7,1.1,8.5,9.3,Assassin
Joyce Stewart,9.7,8.4,8.5,9.4,8.6,9.9,1.7,Accountant
Lonnie Moreno,5.7,7.0,6.8,2.9,6.9,7.0,5.0,Enforcer
Catherine Conner,10.0,7.7,2.0,3.2,9.7,7.4,4.2,Advisor
Angie Klein,1.0,7.6,6.2,0.2,0.6,3.4,0.5,Enforcer
Cora Mcdaniel,10.0,6.1,5.7,6.8,4.9,1.7,0.6,Accountant
Mitchell Schneider,3.9,8.9,7.8,2.3,6.5,8.0,5.5,Enforcer
Renee Baldwin,2.7,7.9,3.4,0.0,8.6,6.2,8.6,Recruiter
Gilbert Farmer,1.3,1.2,7.4,4.8,2.8,7.4,2.0,Enforcer
Abraham Mclaughlin,6.1,3.7,5.9,9.1,8.2,10.0,3.2,Accountant
Fannie Wallace,10.0,1.3,9.1,2.6,3.5,2.2,8.0,Assassin
Kristine Meyer,6.9,3.9,4.2,1.9,6.8,9.0,3.6,Enforcer
Jay Martinez,5.9,6.9,8.2,2.5,0.3,0.8,9.8,Priest
Rosemarie White,4.9,3.3,5.9,2.4,5.5,8.7,9.0,Enforcer
Eleanor Sims,5.3,8.7,6.2,8.0,6.1,2.5,6.1,Recruiter
Nichole Saunders,2.2,3.6,9.2,8.5,4.9,8.2,1.3,Accountant
Pearl Holloway,4.5,0.5,1.5,4.7,9.5,0.8,5.2,Accountant
Julian Guzman,4.8,6.4,8.2,8.1,1.2,7.0,7.4,Enforcer
Tim Hart,2.9,2.5,0.4,7.5,5.6,1.5,1.4,Advisor
Molly Newton,6.0,2.3,5.9,1.6,2.4,9.5,6.8,Enforcer
Al Ford,8.0,5.5,2.8,2.2,0.9,2.0,0.6,Assassin
Gladys Cunningham,3.8,6.1,8.8,3.5,2.8,3.6,7.9,Priest
Antonio Hansen,0.2,6.2,8.5,3.9,9.4,3.4,2.2,Accountant
Emanuel Huff,9.5,1.1,2.9,8.1,10.0,5.5,9.7,Assassin
Valerie Morton,7.7,1.0,3.3,10.0,3.7,9.2,2.4,Assassin
Rachael Mcgee,9.6,6.7,3.8,5.9,2.6,5.5,4.7,Assassin
Teri Harrington,8.1,1.6,3.0,9.3,7.4,5.7,9.4,Assassin
Jeffery Brooks,5.8,0.8,6.3,3.4,1.7,6.5,2.8,Assassin
Julio Potter,8.7,5.3,1.1,8.1,9.0,2.1,7.8,Advisor
Dale Holland,1.0,9.9,9.5,5.9,9.7,7.5,6.5,Priest
Archie Castro,5.6,0.2,8.4,6.6,4.6,9.4,6.1,Assassin
Caleb Bridges,8.3,2.1,1.3,6.3,3.6,3.0,3.1,Advisor
Kerry Norton,3.8,0.3,4.3,6.7,1.1,0.8,1.2,Accountant
Eula Kennedy,3.9,2.0,7.6,7.7,1.9,1.4,4.9,Priest
Roman Webster,2.5,8.2,9.7,6.8,3.7,8.5,2.1,Enforcer
Shawna Clarke,5.5,4.9,0.4,2.0,8.3,2.2,0.5,Accountant
Elijah Hill,9.7,0.9,7.4,5.6,8.0,2.7,5.1,Assassin
Elaine Jacobs,3.1,3.3,1.8,6.5,5.1,8.2,8.8,Priest
Christopher Casey,9.1,10.0,2.2,7.6,0.1,5.8,1.1,Advisor
Audrey Carter,1.3,1.0,2.3,1.9,2.7,0.1,1.2,Accountant
Bertha Russell,1.8,2.6,1.6,1.0,3.6,7.2,6.2,Enforcer
Virginia Powell,3.6,7.3,0.7,5.3,3.6,2.6,9.1,Recruiter
Jeanette Brock,1.8,7.7,3.2,0.8,9.1,4.4,5.8,Recruiter
Jacob Warren,5.7,6.6,4.4,1.6,9.6,2.0,7.6,Recruiter
Dana Bishop,2.8,2.6,4.0,6.4,2.7,9.9,5.4,Enforcer
Madeline Fields,5.9,6.5,2.2,7.5,4.2,3.9,5.6,Advisor
Brandi Vasquez,6.5,0.8,5.5,9.1,8.0,5.0,6.0,Accountant
Nora Bryant,8.7,9.6,2.9,4.5,4.4,3.5,6.4,Recruiter
Delores Mcguire,3.7,3.6,9.8,4.8,0.9,5.7,3.5,Enforcer
Richard Padilla,2.4,1.9,8.4,3.0,4.2,0.6,5.9,Priest
Andres Pittman,1.4,9.4,1.3,0.5,10.0,0.1,2.5,Recruiter
Rosalie Lambert,6.7,3.6,5.0,3.2,0.7,0.0,0.3,Assassin
Ellen Francis,2.0,7.1,0.5,8.4,3.5,5.4,1.0,Advisor
Orlando Jimenez,2.2,4.4,0.6,2.2,4.9,6.8,1.5,Enforcer
Eloise Brady,5.3,9.6,2.2,7.0,5.9,5.5,6.1,Advisor
Taylor Willis,8.5,6.4,9.3,3.9,3.1,8.5,7.3,Enforcer
Sarah Cortez,0.7,6.4,4.0,3.6,2.6,5.1,0.7,Enforcer
Beth Franklin,6.3,9.2,0.0,7.3,1.1,4.2,9.3,Recruiter
Constance Gilbert,9.5,0.0,5.4,3.2,6.4,2.1,9.8,Assassin
Floyd Hopkins,1.8,9.2,1.4,5.4,1.8,1.1,0.7,Advisor
Eunice Wells,8.7,2.8,3.2,3.8,4.2,6.0,8.8,Assassin
Ella Nichols,1.3,7.9,3.4,1.5,0.7,7.7,5.8,Enforcer
Elsa Diaz,0.1,4.4,9.1,6.9,5.5,2.0,2.9,Accountant
Jean Morton,0.1,7.8,4.5,1.0,6.3,5.3,6.9,Priest
Kenneth Zimmerman,9.5,5.9,7.3,8.4,3.1,7.0,8.7,Assassin
Martha Hayes,1.0,5.9,8.1,10.0,7.1,2.9,2.8,Accountant
Carroll Lindsey,5.0,1.1,6.8,3.3,1.7,3.4,8.8,Assassin
Lynn Estrada,9.0,0.5,5.6,0.0,9.3,9.1,8.1,Assassin
Arturo Cook,5.7,0.8,4.4,4.0,0.5,0.5,3.1,Assassin
Ramon Barnes,0.2,7.6,2.0,9.7,5.9,4.7,4.0,Advisor
Hattie Tran,5.4,5.7,3.8,7.7,6.6,10.0,8.3,Priest
Amanda Carlson,7.9,6.9,7.9,9.4,9.4,0.9,8.3,Accountant
Ernest Bush,1.2,7.1,1.8,7.0,8.1,6.3,5.3,Advisor
Henrietta Hamilton,5.0,9.1,6.3,9.2,9.8,3.5,1.1,Accountant
Lloyd Bennett,8.7,8.6,7.9,6.4,2.3,6.6,2.5,Enforcer
Wayne Thornton,6.9,7.4,4.2,8.9,2.6,10.0,7.4,Enforcer
Jermaine Jennings,8.4,1.6,8.3,0.6,8.6,0.2,2.3,Accountant
Damon Mcbride,4.2,4.5,0.8,6.4,4.4,6.2,8.0,Priest
Janet Oliver,7.0,1.6,4.3,0.9,1.1,6.4,3.5,Assassin
Olga Patton,6.3,8.4,0.1,8.8,2.9,6.5,4.9,Advisor
Bernadette Buchanan,3.0,8.8,0.8,7.3,3.9,1.8,0.6,Advisor
Oscar Evans,7.3,9.9,8.2,0.3,9.9,3.1,6.2,Recruiter
Johanna Alvarado,5.4,10.0,6.7,9.1,8.5,8.8,5.5,Advisor
Dan Moody,5.6,5.8,0.2,3.9,6.9,6.9,0.9,Advisor
Walter Lyons,8.4,4.9,8.0,9.4,8.5,4.2,7.1,Accountant
Derek Hughes,6.2,4.8,2.0,8.8,6.7,0.0,7.8,Advisor
Jake Peters,0.7,1.4,0.0,0.2,7.9,6.8,3.3,Accountant
Paula Cain,4.4,2.7,0.9,6.5,6.8,9.0,9.2,Priest
Hubert Swanson,0.3,1.8,2.4,8.5,7.7,4.1,9.1,Priest
Helen Patterson,2.6,8.6,8.3,8.8,4.7,8.3,3.9,Enforcer
Steve Lopez,7.1,2.9,0.6,1.7,9.3,3.8,6.8,Recruiter
Roland Mccormick,1.1,8.6,5.9,5.7,0.3,1.3,3.5,Priest
Kristin Fuller,3.5,5.5,3.4,7.5,9.0,6.0,7.1,Advisor
Salvatore Dixon,5.2,0.0,8.1,3.3,5.0,4.7,2.5,Assassin
Freddie Wilkerson,5.4,6.3,4.3,4.9,1.6,5.9,5.5,Enforcer
Minnie Henry,1.9,0.1,8.4,2.3,6.7,0.8,3.5,Accountant
Joanna Schneider,5.7,5.4,5.6,6.1,8.0,4.9,0.4,Accountant
Sherri Davidson,5.8,3.4,5.5,2.0,2.2,4.1,4.9,Assassin
Tami Obrien,6.5,10.0,2.7,7.8,6.8,4.8,1.9,Advisor
Alfredo Weber,7.5,6.6,6.3,0.9,4.3,6.5,4.5,Enforcer
Don Miller,6.1,3.8,9.5,4.3,0.5,0.1,0.2,Assassin
Brent Vaughn,1.4,9.3,4.6,0.5,7.5,5.1,5.9,Recruiter
Earnest Williamson,7.1,1.5,0.1,10.0,2.3,1.3,8.9,Advisor
Stewart Adkins,5.5,7.6,8.6,7.2,6.7,1.1,7.5,Priest
Oliver Brown,1.3,5.8,4.7,9.2,9.1,7.5,7.8,Priest
Gerald Hawkins,3.4,5.9,9.7,6.1,3.5,1.3,9.0,Priest
Jordan Ortega,0.5,8.6,6.9,8.2,7.0,6.4,8.8,Priest
Lydia Newton,7.4,2.1,5.7,8.7,7.2,4.7,9.4,Assassin
Beverly Ryan,1.7,6.2,4.8,9.5,3.0,7.5,5.1,Priest
Corey Murphy,9.3,9.6,8.8,8.1,3.0,3.0,6.1,Recruiter
Alfonso Edwards,5.1,1.1,6.1,4.4,1.7,4.1,3.1,Assassin
Rose Norris,5.2,0.4,1.4,5.7,8.7,9.2,8.5,Assassin
Estelle Torres,0.5,0.0,0.9,7.3,8.7,1.4,5.7,Accountant
Carmen Gibson,0.5,4.1,8.9,0.0,3.2,0.3,8.4,Priest
Jeffrey Sandoval,6.0,4.8,9.0,9.5,1.6,6.7,4.8,Assassin
Nichole Mack,3.8,7.1,7.0,4.7,8.5,9.6,7.1,Enforcer
Kara Thompson,3.9,6.3,5.1,9.9,0.1,9.3,6.5,Enforcer
Gary Houston,0.6,6.8,0.9,3.8,4.1,6.0,8.6,Priest
Sonya Hoffman,9.4,4.1,7.0,7.2,0.4,9.2,5.6,Assassin
Everett Castillo,2.8,7.5,4.9,9.8,6.2,0.1,5.1,Advisor
Sheldon Burton,1.9,5.0,7.8,6.7,4.4,4.3,5.9,Priest
Dianna Tate,1.5,2.8,8.2,6.3,7.0,1.2,1.8,Accountant
Earl Myers,8.6,6.1,0.3,2.9,4.8,8.4,1.8,Advisor
Edmund Stanley,6.7,7.1,0.1,1.4,4.9,2.2,5.4,Recruiter
Marcos Luna,1.7,3.2,4.5,6.7,1.2,8.5,3.3,Enforcer
Jane Strickland,6.4,0.7,3.4,2.6,0.7,3.5,0.4,Assassin
Luis Phillips,9.2,5.9,6.5,10.0,7.2,5.2,1.3,Accountant
Irving Massey,0.9,9.7,9.9,8.6,7.9,9.0,3.8,Enforcer
Myra Hampton,6.1,1.4,5.5,8.2,4.3,2.3,2.5,Accountant
Dana Turner,6.3,5.5,8.9,5.5,2.0,0.5,5.8,Assassin
Dwight Williams,3.2,4.5,5.1,9.6,4.7,6.0,4.2,Advisor
Stephanie French,9.8,0.2,9.5,3.4,2.6,3.0,6.0,Assassin
Vickie Weaver,4.9,4.4,7.6,4.8,8.8,9.6,7.4,Enforcer
Alexandra Hodges,2.1,1.6,2.1,9.4,8.9,7.8,6.3,Advisor
Laura Stanley,4.6,8.2,1.7,8.3,7.2,7.7,0.8,Advisor
Minnie Doyle,8.4,6.7,2.8,2.6,7.5,0.1,5.8,Recruiter
Melanie Barnett,5.1,1.6,3.0,5.2,1.0,9.4,0.4,Enforcer
Leigh Barnes,6.4,9.3,4.2,6.1,4.0,9.7,3.8,Enforcer
Lora Ball,10.0,0.7,6.1,2.5,0.3,5.4,5.2,Assassin
Lila Sandoval,8.0,0.6,0.9,6.3,9.5,8.9,4.9,Accountant
Vernon Sparks,2.7,9.3,9.7,5.8,3.2,5.2,5.8,Enforcer
Wallace Baldwin,9.3,4.3,0.5,0.3,0.9,5.3,5.5,Assassin
Kristy Gregory,7.5,4.4,3.6,1.9,6.1,7.3,5.3,Assassin
Jack Wong,0.6,9.9,4.8,0.0,1.5,2.2,5.4,Recruiter
Wendell Murphy,6.0,5.7,0.7,4.2,9.1,9.7,0.3,Advisor
Jacob Cox,0.3,0.9,8.7,2.4,6.3,7.5,2.4,Enforcer
Kathy Ryan,9.1,4.1,4.9,8.9,9.9,7.2,9.0,Accountant
Alyssa Edwards,6.2,8.2,0.5,6.8,6.8,5.0,7.3,Advisor
Diana Hunt,4.5,2.4,5.0,3.2,7.4,6.4,3.8,Accountant
Maurice Cole,0.2,2.3,3.2,2.7,0.0,6.8,6.7,Enforcer
Cody Erickson,1.3,4.6,3.7,5.8,0.6,1.0,2.8,Priest
Vicky Adkins,8.4,0.5,4.1,2.3,8.1,1.9,7.1,Assassin
Shelia Sanchez,0.0,0.8,9.0,8.9,2.8,8.4,7.0,Priest
Rick Mack,2.9,2.6,5.8,10.0,4.7,6.3,6.0,Priest
Tanya Moran,0.1,5.6,1.0,5.1,9.8,0.4,2.2,Advisor
Katherine Watkins,5.3,7.1,8.9,9.0,7.4,2.2,5.4,Accountant
Jerome Knight,9.8,3.5,5.6,7.6,4.0,9.9,9.2,Assassin
Ella Lee,0.1,0.1,9.6,3.7,2.5,1.0,8.0,Priest
Herbert Joseph,2.3,8.2,6.1,6.2,1.2,5.7,2.3,Enforcer
Israel Terry,9.8,5.1,0.6,5.2,8.6,0.1,4.3,Advisor
April Jefferson,8.7,6.5,4.5,7.1,7.6,5.0,8.5,Recruiter
Sue Ray,1.6,5.5,0.8,4.4,0.3,3.9,0.8,Advisor
Lydia Pena,9.4,1.6,5.3,5.3,8.9,1.4,6.1,Accountant
Wanda Walsh,0.5,0.3,1.4,6.6,6.3,0.2,2.0,Accountant
Bill Salazar,5.1,7.0,8.0,8.7,8.8,8.5,9.5,Priest
